query,bm25_top_score,bm25_mean_score,bm25_score_std,bm25_score_gap,bm25_top_mean_ratio,dense_top_similarity,dense_mean_similarity,dense_similarity_std,dense_similarity_gap,dense_top_mean_ratio,overlap_ratio,rank_agreement,query_token_count,query_unique_token_count,query_avg_token_length,bm25_top_lexical_coverage,dense_top_lexical_coverage,oracle_bm25_weight
scope app restaurant,8.94052779165088,4.858242196119244,1.766129702457613,2.250812810834411,1.8402803793504898,0.0677253007888794,-0.3232190251350403,0.18557701096806303,0.12770211696624756,-0.20953376974200047,0.3333333333333333,0.6666666666666667,3,3,6.0,0.6666666666666666,1.0,0.0
customers inside india,8.06441852581607,2.2163296755251882,2.8861132450089197,2.512237233060392,3.6386367131528394,0.1976538896560669,-0.3706690549850464,0.25266273248686416,0.2870539426803589,-0.5332354751438334,0.05263157894736842,0.0,3,3,6.666666666666667,1.0,1.0,0.0
lean principles form,13.89428546900021,3.559864027128215,4.582585551454057,4.0879689949907565,3.903038251775278,0.3772844076156616,-0.2883893668651581,0.2581390692369472,0.3530229926109314,-1.3082465963180538,0.1111111111111111,1.0,3,3,6.0,1.0,1.0,0.0
scrum self sufficiency,5.384010396424948,1.5915567130510824,1.265881743516207,4.086817404260612,3.3828580233899235,0.21999329328536987,0.12175313234329224,0.04123330712173799,0.04828798770904541,1.8068799467522692,0.05263157894736842,0.0,3,3,6.666666666666667,0.6666666666666666,0.6666666666666666,0.0
control model scrum,10.376133674667141,3.6634991898508518,2.26235788618269,6.800407888110495,2.832301342774304,0.1130220890045166,0.06432416439056396,0.029026491584435758,0.01498258113861084,1.7570704582848244,0.17647058823529413,0.7407407407407407,3,3,5.666666666666667,1.0,0.6666666666666666,0.55
team optimize,8.491864528084621,2.9560906175650756,1.9650338398509624,4.141628850744816,2.87266719011454,0.24271243810653687,0.0016350150108337402,0.09822818161437642,0.14403194189071655,148.4466114979403,0.1111111111111111,0.9444444444444444,2,2,6.0,1.0,1.0,0.0
sprint review informal,7.941450032545175,3.505087762096393,1.5794013653483179,3.66658742255607,2.265692208458539,0.4286692142486572,0.05615978837013245,0.1433321390924037,0.27250146865844727,7.63302759304266,0.3333333333333333,0.8666666666666667,3,3,6.666666666666667,1.0,1.0,0.0
daily scrum inspection,8.359940816856984,3.982521380344894,1.9403002906902866,1.1618408433629774,2.099157799407218,0.3997202515602112,0.004847991466522217,0.14382689952504965,0.32614272832870483,82.45069206917495,0.42857142857142855,0.8518518518518519,3,3,6.666666666666667,1.0,1.0,0.0
zenhub agile,5.322425882942035,3.0215128774448488,1.0311084921269462,1.1777075149180822,1.761510242988923,0.3567776679992676,-0.14672920107841492,0.19143334451570262,0.3411722779273987,-2.4315382717077476,0.42857142857142855,0.8148148148148148,2,2,5.5,1.0,1.0,0.0
org scrum org,1.2971929921643366,1.1558270942518394,0.07893351200520364,0.0822665344837481,1.1223071328017298,0.2730606198310852,0.20651594400405884,0.03561851710296756,0.02663475275039673,1.3222253668981534,0.17647058823529413,0.5185185185185186,3,2,3.6666666666666665,0.5,1.0,0.0
scrum reveals,5.805995330446906,1.6337552064532779,1.39231988696863,4.508802338282569,3.5537731157724366,0.16836392879486084,0.1121609389781952,0.02828505171400982,0.025842785835266113,1.501092361821185,0.17647058823529413,0.5925925925925926,2,2,6.0,1.0,0.5,0.55
cross functional collaboration,4.454967164890562,2.863592570493011,1.4853592356646401,0.2529102469555191,1.555726610969511,0.19269055128097534,-0.09541788697242737,0.16073444170813297,0.07060796022415161,-2.0194384658366684,0.05263157894736842,0.0,3,3,9.333333333333334,0.3333333333333333,0.6666666666666666,0.0
sprints q36 burndown,3.3921120026839926,2.893035115346967,0.2451351139235487,0.041749070802264754,1.1725097924631207,0.3513096570968628,0.054623371362686156,0.12558338090469814,0.1635359525680542,6.4314898244608605,0.25,0.6111111111111112,3,3,6.0,0.3333333333333333,1.0,0.0
teams program increment,12.221338937422047,5.089701295791806,2.8559282809764297,3.9744577555890963,2.4011898198282715,0.30714309215545654,-0.12599040269851686,0.14926159740470532,0.3894059658050537,-2.437829275698253,0.25,0.6388888888888888,3,3,7.0,1.0,1.0,0.0
team self organizing,6.869269682986358,2.546561738685994,1.4422045783789323,4.714114337623627,2.6974683466856955,0.3418370485305786,0.05305767059326172,0.14223149856954503,0.030133366584777832,6.442745124472005,0.17647058823529413,0.5925925925925926,3,3,6.0,0.6666666666666666,1.0,0.0
resolution scrum master,5.112305776222563,3.650311189977793,0.702037671363518,0.4742343649984653,1.4005123152948677,0.22745674848556519,0.06293761730194092,0.06590199706350529,0.1251261830329895,3.614003170700755,0.1111111111111111,1.0,3,3,7.0,0.6666666666666666,0.6666666666666666,0.0
